Animal_ID,Deployment_ID,Tags_SatTag_Manufacturer,Tags_SatTag_Model,Tags_SatTag_ID,Tags_PTT,Data_Track_QCFlag,Tags_SatTag_Comments,Tags_TDR1_Manufacturer,Tags_TDR1_Model,Tags_TDR1_ID,Tags_TDR1_Loc,Data_TDR1_QCFlag,Tags_TDR1_Comments,Tags_TDR2_Manufacturer,Tags_TDR2_Model,Tags_TDR2_ID,Tags_TDR2_Loc,Data_TDR2_QCFlag,Tags_TDR2_Comments,Tags_TDR3_Manufacturer,Tags_TDR3_Model,Tags_TDR3_ID,Tags_TDR3_Loc,Data_TDR3_QCFlag,Tags_TDR3_Comments,Data_TDR1_DepthResolution_m,Data_TDR1_SamplingFrequency_Hz,Data_TDR2_DepthResolution_m,Data_TDR2_SamplingFrequency_Hz,Data_TDR3_DepthResolution_m,Data_TDR3_SamplingFrequency_Hz,Deployment_Departure_Datetime,Deployment_Arrival_Datetime,Deployment_Departure_Lat,Deployment_Departure_Lon,Deployment_Arrival_Lat,Deployment_Arrival_Lon,Deployment_Departure_Loc,Deployment_Arrival_Loc,Deployment_Trip,Animal_BirthYear,Animal_AgeClass,Animal_Sex,Deployment_Manipulation,Deployment_ManipulationType,Animal_HadPup,Deployment_Year
K464,2005023,Wildlife Computers,SPOT,04S0658,56483,3,NA,Wildlife Computers,Mk9,490877,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/1/2005 1:00,11/6/2005 10:30,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1994,Adult,F,N,NA,N,2005
1544,2005024,Wildlife Computers,SPOT,04S0659,56484,2,NA,Wildlife Computers,Mk9,490132,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,5/23/2005 5:00,1/2/2006 0:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2001,Adult,F,N,NA,Y,2005
O911,2005025,Wildlife Computers,SPOT,04S0660,56485,2,NA,Wildlife Computers,Mk9,490153,Back,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NaN,NaN,NaN,NaN,NaN,NaN,6/5/2005 14:00,1/12/2006 5:30,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,NaN,Adult,F,N,NA,Y,2005
K598,2005026,Wildlife Computers,SPOT,04S0661,56486,4,NA,Wildlife Computers,Mk9,490850,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,5/30/2005 1:30,1/4/2006 4:15,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1994,Adult,F,N,NA,Y,2005
L521,2005027,Wildlife Computers,SPOT,04S0662,56487,2,NA,Wildlife Computers,Mk9,490851,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,5/30/2005 11:45,1/8/2006 8:45,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1995,Adult,F,N,NA,Y,2005
O55,2005028,Wildlife Computers,SPOT,04S0663,56488,2,NA,Wildlife Computers,Mk9,490854,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,5/16/2005 0:45,1/5/2006 10:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1998,Adult,F,N,NA,Y,2005
L563,2005029,Wildlife Computers,SPOT,04S0664,56489,2,NA,Wildlife Computers,Mk9,490858,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/1/2005 23:15,1/14/2006 21:45,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1995,Adult,F,N,NA,Y,2005
R797,2005030,Wildlife Computers,SPOT,04S0665,56490,3,NA,Wildlife Computers,Mk9,490117,Back,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/5/2005 5:45,1/18/2006 7:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2000,Adult,F,N,NA,Y,2005
O401,2005031,Wildlife Computers,SPOT,04S0666,56491,2,NA,Wildlife Computers,Mk9,490124,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,5/31/2005 1:00,1/12/2006 0:15,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1998,Adult,F,N,NA,Y,2005
R848,2005032,Wildlife Computers,SPOT,NA,56492,1,NA,Wildlife Computers,Mk9,490133,Back,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NaN,NaN,NaN,NaN,NaN,NaN,6/7/2005 0:30,12/5/2005 20:00,37.116396,-122.330756,NaN,NaN,ANNU,NA,PM,2000,Adult,F,N,NA,N/A,2005
O448,2005033,Wildlife Computers,SPOT,04S0117,37591,3,NA,Wildlife Computers,Mk9,490152,Back,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/4/2005 2:30,1/14/2006 5:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1998,Adult,F,N,NA,Y,2005
M141,2005034,Wildlife Computers,SPOT,04S0120,37593,3,NA,Wildlife Computers,Mk9,490853,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/10/2005 20:45,1/15/2006 10:15,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,NaN,Adult,F,N,NA,Y,2005
N140,2005035,SMRU,CTD,10054,22922,4,missing start and end of track,Wildlife Computers,Mk9,490116,Back,1,NA,SMRU,CTD,10054,Head,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/17/2005 5:00,2/3/2006 1:15,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1997,Adult,F,N,NA,Y,2005
1914,2005036,Wildlife Computers,SPOT,04S0143,39454,3,NA,Wildlife Computers,Mk9,490122,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/15/2005 6:45,1/23/2006 1:15,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2001,Adult,F,N,NA,Y,2005
S85,2005037,Wildlife Computers,SPOT,04S0148,39455,3,NA,Wildlife Computers,Mk9,490963,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/10/2005 10:00,3/6/2006 14:15,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2001,Adult,F,N,NA,N,2005
R459,2005038,Wildlife Computers,SPOT,04S0138,37597,3,NA,Wildlife Computers,Mk9,490352,Back,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/16/2005 22:00,1/20/2006 14:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1999,Adult,F,N,NA,Y,2005
R55,2005039,Wildlife Computers,SPOT,04S0140,37598,3,NA,Wildlife Computers,Mk9,490960,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/15/2005 19:00,1/21/2006 6:45,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1999,Adult,F,N,NA,Y,2005
O585,2005040,Wildlife Computers,SPOT,04S0205,39456,3,NA,Wildlife Computers,Mk9,490155,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/25/2005 22:15,1/25/2006 15:15,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1998,Adult,F,N,NA,Y,2005
R803,2005041,SMRU,NA,10098,28592,3,some noisy locations,Wildlife Computers,Mk9,490962,Back,1,NA,SMRU,NA,10098,Head,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,7/2/2005 16:45,11/18/2005 18:45,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2000,Adult,F,N,NA,N,2005
R528,2005042,SMRU,NA,10107,NaN,3,NA,Wildlife Computers,Mk9,490156,Back,1,NA,SMRU,NA,10107,Head,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,7/6/2005 1:15,2/6/2006 7:45,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2000,Adult,F,N,NA,Y,2005
R589,2005043,SMRU,NA,10110,23104,3,some noisy locations,Wildlife Computers,Mk9,490966,Back,1,NA,SMRU,NA,10110,Head,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/27/2005 19:00,11/12/2005 19:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2000,Adult,F,N,NA,N,2005
3162,2005044,SMRU,NA,10102,NaN,3,NA,SMRU,NA,10102,Head,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NaN,NaN,NaN,NaN,NaN,NaN,7/6/2005 23:00,1/10/2006 0:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,NaN,Adult,F,N,NA,N/A,2005
Lola,2005050,Wildlife Computers,SPOT,NA,59108,2,"very local to San Benito, check",Wildlife Computers,Mk9,490952,Back,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,5/31/2005 22:00,1/5/2006 4:30,28.311,-115.569,28.311,-115.569,SABE,SABE,PM,NaN,Adult,F,N,NA,N/A,2005
Kita,2005051,Wildlife Computers,SPOT,NA,59112,3,NA,Wildlife Computers,Mk9,490359,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,5/29/2005 22:00,1/6/2006 10:00,28.311,-115.569,28.311,-115.569,SABE,SABE,PM,NaN,Adult,F,N,NA,N/A,2005
Pepa,2005052,Wildlife Computers,SPOT,NA,59114,3,NA,Wildlife Computers,Mk9,490951,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/7/2005 0:30,1/24/2006 2:00,28.311,-115.569,28.311,-115.569,SABE,SABE,PM,NaN,Adult,F,N,NA,N/A,2005
Yuyu,2005053,Wildlife Computers,SPOT,NA,59113,3,NA,Wildlife Computers,Mk9,490357,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/6/2005 18:30,11/9/2005 0:15,28.311,-115.569,28.311,-115.569,SABE,SABE,PM,NaN,Adult,F,N,NA,N/A,2005
Lupe,2005054,Wildlife Computers,SPOT,NA,59115,2,NA,Wildlife Computers,Mk9,490964,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,5/23/2005 16:00,1/8/2006 10:15,28.311,-115.569,28.311,-115.569,SABE,SABE,PM,NaN,Adult,F,N,NA,N/A,2005
Sam,2005055,Wildlife Computers,SPOT,NA,59111,3,"very local to san benito, check",Wildlife Computers,Mk9,490955,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,5/23/2005 20:30,12/28/2005 23:00,28.311,-115.569,28.311,-115.569,SABE,SABE,PM,NaN,Adult,F,N,NA,N/A,2005
Ana,2005056,Wildlife Computers,SPOT,NA,59116,3,NA,Wildlife Computers,Mk9,490965,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,5/31/2005 2:30,1/10/2006 2:30,28.311,-115.569,28.311,-115.569,SABE,SABE,PM,NaN,Adult,F,N,NA,N/A,2005
Sara,2005057,Wildlife Computers,SPOT,NA,59110,3,NA,Wildlife Computers,Mk9,490360,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/3/2005 1:30,1/2/2006 22:00,28.311,-115.569,28.311,-115.569,SABE,SABE,PM,NaN,Adult,F,N,NA,N/A,2005
Mimi,2005058,Wildlife Computers,SPOT,NA,59107,3,NA,Wildlife Computers,Mk9,490963,Back,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NaN,NaN,NaN,NaN,NaN,NaN,6/4/2005 0:00,11/16/2005 18:15,28.311,-115.569,28.311,-115.569,SABE,SABE,PM,NaN,Adult,F,N,NA,N/A,2005
Ines,2005059,Wildlife Computers,SPOT,NA,59109,3,noisy locations,Wildlife Computers,Mk9,490358,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,5/28/2005 7:00,1/7/2006 21:15,28.311,-115.569,28.311,-115.569,SABE,SABE,PM,NaN,Adult,F,N,NA,N/A,2005
Yuyu,2005067,NA,NA,NA,NaN,3,NA,Wildlife Computers,Mk9,490357,Back,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NaN,NaN,NaN,NaN,NaN,NaN,11/20/2005 12:00,4/11/2006 0:00,28.311,-115.569,28.311,-115.569,SABE,SABE,PM,NaN,Adult,F,N,NA,N/A,2005
Lola,2006003,Wildlife Computers,SPOT,05S0066,59108,1,NA,Wildlife Computers,Mk9,490965,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/9/2006 14:00,5/5/2006 17:30,28.311,-115.569,28.311,-115.569,SABE,SABE,PB,NaN,Adult,F,N,NA,N/A,2006
Lupe,2006004,Wildlife Computers,SPOT,05S0073,59115,2,NA,Wildlife Computers,Mk9,490962,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/6/2006 9:30,4/13/2006 6:00,28.311,-115.569,28.311,-115.569,SABE,SABE,PB,NaN,Adult,F,N,NA,N/A,2006
Sam,2006005,Wildlife Computers,SPOT,NA,59111,2,NA,Wildlife Computers,Mk9,490966,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/2/2006 18:00,4/4/2006 21:00,28.311,-115.569,28.311,-115.569,SABE,SABE,PB,NaN,Adult,F,N,NA,N/A,2006
Ana,2006006,Wildlife Computers,SPOT,05S0074,59116,4,NA,Wildlife Computers,Mk9,490358,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/12/2006 1:00,5/2/2006 5:30,28.311,-115.569,28.311,-115.569,SABE,SABE,PB,NaN,Adult,F,N,NA,N/A,2006
Sara,2006007,Wildlife Computers,SPOT,NA,NaN,5,MISSING,Wildlife Computers,Mk9,490964,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/7/2006 12:30,4/24/2006 16:00,28.311,-115.569,28.311,-115.569,SABE,SABE,PB,NaN,Adult,F,N,NA,N/A,2006
Ines,2006008,Wildlife Computers,SPOT,NA,59109,2,NA,Wildlife Computers,Mk9,490955,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/9/2006 2:30,5/16/2006 7:00,28.311,-115.569,28.311,-115.569,SABE,SABE,PB,NaN,Adult,F,N,NA,N/A,2006
1563,2006009,Wildlife Computers,SPOT,04S0208,44633,2,NA,Wildlife Computers,Mk9,490132,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/15/2006 16:00,4/27/2006 21:45,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2001,Adult,F,N,NA,N/A,2006
1740,2006010,Wildlife Computers,SPOT,04S0119,37592,2,NA,Wildlife Computers,Mk9,490851,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/16/2006 8:45,5/17/2006 19:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2002,Adult,F,N,NA,N/A,2006
1702,2006011,Wildlife Computers,SPOT,NA,39453,2,NA,Wildlife Computers,Mk9,490875,Back,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NaN,NaN,NaN,NaN,NaN,NaN,2/13/2006 18:00,3/22/2006 3:45,37.116396,-122.330756,NaN,NaN,ANNU,NA,PB,2002,Adult,F,N,NA,N/A,2006
1133,2006012,Wildlife Computers,SPOT,04S0207,44632,1,NA,Wildlife Computers,Mk9,490877,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/10/2006 20:00,4/19/2006 15:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2002,Adult,F,N,NA,N/A,2006
L178,2006013,SMRU,GPS,10100,13367,1,NA,Wildlife Computers,Mk9,490952,Back,5,NA,SMRU,GPS,10100,Head,5,NA,NA,NA,NA,NA,5,NA,NaN,NaN,NaN,NaN,NaN,NaN,2/12/2006 4:00,4/2/2006 2:00,37.116396,-122.330756,NaN,NaN,ANNU,NA,PB,1995,Adult,F,N,NA,N/A,2006
1472,2006014,Wildlife Computers,SPOT,04S0215,44639,1,NA,Wildlife Computers,Mk9,490854,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/20/2006 10:30,5/19/2006 23:45,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2001,Adult,F,N,NA,N/A,2006
R196,2006015,SMRU,GPS,10313,60259,1,NA,Wildlife Computers,Mk9,490124,Back,1,NA,SMRU,GPS,10313,Head,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/20/2006 17:00,5/11/2006 16:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1999,Adult,F,N,NA,N/A,2006
1678,2006016,SMRU,GPS,10315,60260,1,NA,Wildlife Computers,Mk9,490853,Back,1,NA,SMRU,GPS,10315,Head,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/20/2006 3:00,5/19/2006 11:30,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2002,Adult,F,N,NA,N/A,2006
L729,2006017,Wildlife Computers,SPOT,04S0209,44634,2,NA,Wildlife Computers,Mk9,490850,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/21/2006 1:45,5/8/2006 18:45,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,NaN,Adult,F,N,NA,N/A,2006
R730,2006018,Wildlife Computers,SPOT,04S0210,44635,2,NA,Wildlife Computers,Mk9,490858,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/25/2006 8:00,5/6/2006 4:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2000,Adult,F,N,NA,N/A,2006
1733,2006019,SMRU,GPS,10357,37588,1,NA,Wildlife Computers,Mk9,490152,Back,1,NA,SMRU,GPS,10357,Head,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/25/2006 8:45,5/28/2006 5:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2002,Adult,F,N,NA,N/A,2006
M680,2006020,SMRU,GPS,10356,37587,1,NA,Wildlife Computers,Mk9,490117,Back,1,NA,SMRU,GPS,10356,Head,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/25/2006 14:30,5/13/2006 23:45,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1996,Adult,F,N,NA,N/A,2006
H965,2006021,SMRU,GPS,10360,26341,1,NA,Wildlife Computers,Mk9,490336,Back,1,NA,SMRU,GPS,10360,Head,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,3/2/2006 3:30,5/26/2006 17:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1992,Adult,F,N,NA,N/A,2006
M637,2006022,Wildlife Computers,SPOT,04S0285,39456,2,NA,Wildlife Computers,Mk9,490879,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/24/2006 1:30,5/4/2006 3:45,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1996,Adult,F,N,NA,N/A,2006
J682,2006023,SMRU,GPS,10372,25966,5,Missing. Argos antenna broke,Wildlife Computers,Mk9,490158,Back,1,NA,SMRU,GPS,10372,Head,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,3/3/2006 6:45,5/17/2006 23:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1993,Adult,F,N,NA,N/A,2006
1885,2006024,SMRU,GPS,10362,22922,5,MISSING,Wildlife Computers,Mk9,490160,Back,1,NA,SMRU,GPS,10362,Head,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/28/2006 4:00,4/16/2006 19:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2002,Adult,F,N,NA,N/A,2006
W1057,2006025,Wildlife Computers,SPOT,04S0214,44637,2,NA,Wildlife Computers,Mk9,490233,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,2/26/2006 5:45,5/6/2006 16:30,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1998,Adult,F,N,NA,N/A,2006
L840,2006026,SMRU,GPS,10373,24178,1,NA,Wildlife Computers,Mk9,490157,Back,1,NA,SMRU,GPS,10373,Head,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,3/3/2006 8:00,5/25/2006 13:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1995,Adult,F,N,NA,N/A,2006
M627,2006027,SMRU,GPS,10358,22925,1,some messy locations,Wildlife Computers,Mk9,490122,Back,1,NA,SMRU,GPS,10358,Head,5,NA,NA,NA,NA,NA,5,NA,0.5,4,NaN,NaN,NaN,NaN,3/2/2006 12:00,5/13/2006 3:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1996,Adult,F,N,NA,N/A,2006
1795,2006031,Wildlife Computers,SPOT,NA,39457,1,NA,Wildlife Computers,Mk9,490231,Back,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NaN,NaN,NaN,NaN,NaN,NaN,3/1/2006 0:00,4/16/2006 0:00,37.116396,-122.330756,NaN,NaN,ANNU,NA,PB,2002,Adult,F,N,NA,N/A,2006
Kita,2006034,Wildlife Computers,SPOT,05S0070,39112,4,NA,Wildlife Computers,Mk9,490359,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,2/15/2006 0:30,4/9/2006 22:00,28.311,-115.569,28.311,-115.569,SABE,SABE,PB,NaN,Adult,F,N,NA,N/A,2006
Mimi,2006035,Wildlife Computers,SPOT,NA,59107,4,NA,NA,NA,NA,Back,5,lost at sea,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NaN,NaN,NaN,NaN,NaN,NaN,12/11/2005 20:00,4/9/2006 11:00,28.311,-115.569,28.311,-115.569,SABE,SABE,PB,NaN,Adult,F,N,NA,N/A,2005
G102,2006038,Wildlife Computers,SPOT,04S0656,56481,2,NA,Wildlife Computers,Mk9,490352,Back,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,5/21/2006 11:00,1/4/2007 18:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1989,Adult,F,N,NA,Y,2006
M780,2006039,Wildlife Computers,SPOT,04S0657,56482,3,NA,Wildlife Computers,Mk9,490360,Back,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/1/2006 12:00,1/15/2007 0:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2002,Adult,F,N,NA,Y,2006
1551,2006040,Wildlife Computers,Mk10,06A0175,60254,5,No useable data,Wildlife Computers,Mk10,06A0175,Head,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,NaN,NaN,ANNU,NA,NA,2001,Adult,F,N,NA,N/A,NaN
O401,2006041,Wildlife Computers,SPOT,04S0663,56488,3,NA,Wildlife Computers,Mk9,490357,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/3/2006 10:00,1/11/2007 2:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1998,Adult,F,N,NA,Y,2006
O448,2006042,Wildlife Computers,SPOT,04S0664,56489,5,No useable data,Wildlife Computers,Mk9,490966,Back,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,NaN,NaN,ANNU,NA,NA,1998,Adult,F,N,NA,N/A,NaN
L720,2006043,Wildlife Computers,SPOT,04S0120,37593,2,NA,Wildlife Computers,Mk10,06A0211,Back,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NaN,NaN,NaN,NaN,NaN,NaN,6/1/2006 22:15,1/16/2007 0:30,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1995,Adult,F,N,NA,Y,2006
O256,2006044,Wildlife Computers,SPOT,04S0662,56487,2,check over dateline,Wildlife Computers,Mk10,06A0212,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/5/2006 14:00,1/23/2007 19:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1998,Adult,F,N,NA,Y,2006
1196,2006045,Wildlife Computers,SPOT,04S0659,56484,1,NA,Wildlife Computers,Mk10,06A0208,Back,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NaN,NaN,NaN,NaN,NaN,NaN,6/5/2006 12:00,7/24/2006 4:30,37.116396,-122.330756,NaN,NaN,ANNU,NA,PM,2001,Adult,F,N,NA,N/A,2006
N17,2006046,Wildlife Computers,SPOT,04S0138,37597,3,NA,Wildlife Computers,Mk10,06A0169,Back,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,0.5,8,NaN,NaN,NaN,NaN,6/10/2006 22:00,1/27/2007 17:00,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1996,Adult,F,N,NA,Y,2006
