FieldID,TOPPID,PTTID,AnimalID,DepartDate,DepartDateMethod,EndTripDate,EndTripDateMethod,ArriveDate,ArriveDateMethod,DepartLat,DepartLon,ArriveLat,ArriveLon,DepartLoc,ArriveLoc,Season,BirthYear,AgeClass,Sex,Manipulation,ManipulationType,Comments,
S 85,2005037,39455,NESE0162ANNU,06/10/2005 10:00:00,TDR,03/06/2006 14:15:00,TDR,03/06/2006 14:15:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2001,Adult,F,N,,,
R459,2005038,37597,NESE0163ANNU,06/16/2005 22:00:00,TDR,01/20/2006 14:00:00,PTT,01/20/2006 14:00:00,PTT,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1999,Adult,F,N,,,
R 55,2005039,37598,NESE0164ANNU,06/15/2005 19:00:00,TDR,01/21/2006 06:45:00,TDR,01/21/2006 06:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1999,Adult,F,N,,,
O585,2005040,39456,NESE0165ANNU,06/25/2005 22:15:00,TDR,01/25/2006 15:15:00,TDR,01/25/2006 15:15:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1998,Adult,F,N,,,
R803,2005041,28592,NESE0166ANNU,07/02/2005 16:45:00,TDR,11/18/2005 18:45:00,TDR,11/18/2005 18:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2000,Adult,F,N,,,
R528,2005042,24178,NESE0167ANNU,07/06/2005 01:15:00,TDR,02/06/2006 07:45:00,TDR,02/06/2006 07:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2000,Adult,F,N,,,
R589,2005043,23104,NESE0168ANNU,06/27/2005 19:00:00,TDR,11/12/2005 19:00:00,TDR,11/12/2005 19:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,2000,Adult,F,N,,,
3162,2005044,24176,NESE0169ANNU,07/06/2005 23:00:00,PTT,01/10/2006 00:00:00,VIS,01/10/2006 00:00:00,VIS,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,NaN,Adult,F,N,,,
lola,2005050,59108,NESE0008SABE,05/31/2005 22:00:00,TDR,01/05/2006 04:30:00,TDR,01/05/2006 04:30:00,TDR,28.311,-115.569,28.311,-115.569,SABE,SABE,PM,NaN,Adult,F,N,,,
kita,2005051,59112,NESE0009SABE,05/29/2005 22:00:00,TDR,01/06/2006 10:00:00,TDR,01/06/2006 10:00:00,TDR,28.311,-115.569,28.311,-115.569,SABE,SABE,PM,NaN,Adult,F,N,,excludes tiny pre and post trips,
pepa,2005052,59114,NESE0010SABE,06/07/2005 00:30:00,TDR,01/24/2006 02:00:00,TDR,01/24/2006 02:00:00,TDR,28.311,-115.569,28.311,-115.569,SABE,SABE,PM,NaN,Adult,F,N,,,
yuyu,2005053,59113,NESE0011SABE,06/06/2005 18:30:00,TDR,11/09/2005 00:15:00,TDR,11/09/2005 00:15:00,TDR,28.311,-115.569,28.311,-115.569,SABE,SABE,PM,NaN,Adult,F,N,,,
lupe,2005054,59115,NESE0012SABE,05/23/2005 16:00:00,TDR,01/08/2006 10:15:00,TDR,01/08/2006 10:15:00,TDR,28.311,-115.569,28.311,-115.569,SABE,SABE,PM,NaN,Adult,F,N,,,
sam,2005055,59111,NESE0013SABE,05/23/2005 20:30:00,TDR,12/28/2005 23:00:00,TDR,12/28/2005 23:00:00,TDR,28.311,-115.569,28.311,-115.569,SABE,SABE,PM,NaN,Adult,F,N,,,
Ana,2005056,59116,NESE0014SABE,05/31/2005 02:30:00,TDR,01/10/2006 02:30:00,TDR,01/10/2006 02:30:00,TDR,28.311,-115.569,28.311,-115.569,SABE,SABE,PM,NaN,Adult,F,N,,,
Sara,2005057,59110,NESE0015SABE,06/03/2005 01:30:00,TDR,01/02/2006 22:00:00,TDR,01/02/2006 22:00:00,TDR,28.311,-115.569,28.311,-115.569,SABE,SABE,PM,NaN,Adult,F,N,,,
mimi,2005058,59107,NESE0016SABE,06/04/2005 00:00:00,PTT,11/16/2005 18:15:00,PTT,11/16/2005 18:15:00,PTT,28.311,-115.569,28.311,-115.569,SABE,SABE,PM,NaN,Adult,F,N,,,
ines,2005059,59109,NESE0017SABE,05/28/2005 07:00:00,TDR,01/07/2006 21:15:00,TDR,01/07/2006 21:15:00,TDR,28.311,-115.569,28.311,-115.569,SABE,SABE,PM,NaN,Adult,F,N,,,
yuyu,2005067,59113,NESE0033SABE,11/20/2005 12:00:00,PTT,04/11/2006 00:00:00,PTT,04/11/2006 00:00:00,PTT,28.311,-115.569,28.311,-115.569,SABE,SABE,PM,NaN,Adult,F,N,,,
lola,2006003,59108,NESE0025SABE,02/09/2006 14:00:00,TDR,05/05/2006 17:30:00,TDR,05/05/2006 17:30:00,TDR,28.311,-115.569,28.311,-115.569,SABE,SABE,PB,NaN,Adult,F,N,,,
lupe,2006004,59115,NESE0027SABE,02/06/2006 09:30:00,TDR,04/13/2006 06:00:00,TDR,04/13/2006 06:00:00,TDR,28.311,-115.569,28.311,-115.569,SABE,SABE,PB,NaN,Adult,F,N,,,
sam,2006005,59111,NESE0026SABE,02/02/2006 18:00:00,TDR,04/04/2006 21:00:00,TDR,04/04/2006 21:00:00,TDR,28.311,-115.569,28.311,-115.569,SABE,SABE,PB,NaN,Adult,F,N,,,
Ana,2006006,59116,NESE0028SABE,02/12/2006 01:00:00,TDR,05/02/2006 05:30:00,TDR,05/02/2006 05:30:00,TDR,28.311,-115.569,28.311,-115.569,SABE,SABE,PB,NaN,Adult,F,N,,,
Sara,2006007,59110,NESE0029SABE,02/07/2006 12:30:00,TDR,04/24/2006 16:00:00,TDR,04/24/2006 16:00:00,TDR,28.311,-115.569,28.311,-115.569,SABE,SABE,PB,NaN,Adult,F,N,,,
ines,2006008,59109,NESE0030SABE,02/09/2006 02:30:00,TDR,05/16/2006 07:00:00,TDR,05/16/2006 07:00:00,TDR,28.311,-115.569,28.311,-115.569,SABE,SABE,PB,NaN,Adult,F,N,,,
1563,2006009,44633,NESE0187ANNU,02/15/2006 16:00:00,TDR,04/27/2006 21:45:00,TDR,04/27/2006 21:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2001,Adult,F,N,,,
1740,2006010,37592,NESE0188ANNU,02/16/2006 08:45:00,TDR,05/17/2006 19:00:00,TDR,05/17/2006 19:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2002,Adult,F,N,,,
1702,2006011,39453,NESE0189ANNU,02/13/2006 18:00:00,VIS,03/22/2006 03:45:00,PTT,,,37.116396,-122.330756,,,ANNU,,PB,2002,Adult,F,N,,not recovered,
1133,2006012,44632,NESE0190ANNU,02/10/2006 20:00:00,TDR,04/19/2006 15:00:00,TDR,04/19/2006 15:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2002,Adult,F,N,,,
L178,2006013,13367,NESE0191ANNU,02/12/2006 04:00:00,PTT,04/02/2006 02:00:00,PTT,,,37.116396,-122.330756,,,ANNU,,PB,1995,Adult,F,N,,not recovered,
1472,2006014,44639,NESE0192ANNU,02/20/2006 10:30:00,TDR,05/19/2006 23:45:00,TDR,05/19/2006 23:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2001,Adult,F,N,,,
R196,2006015,60259,NESE0193ANNU,02/20/2006 17:00:00,TDR,05/11/2006 16:00:00,TDR,05/11/2006 16:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1999,Adult,F,N,,,
1678,2006016,60260,NESE0194ANNU,02/20/2006 03:00:00,TDR,05/19/2006 11:30:00,TDR,05/19/2006 11:30:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2002,Adult,F,N,,,
L729,2006017,44634,NESE0195ANNU,02/21/2006 01:45:00,TDR,05/08/2006 18:45:00,TDR,05/08/2006 18:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,NaN,Adult,F,N,,,
R730,2006018,44635,NESE0196ANNU,02/25/2006 08:00:00,TDR,05/06/2006 04:00:00,TDR,05/06/2006 04:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2000,Adult,F,N,,,
1733,2006019,37588,NESE0197ANNU,02/25/2006 08:45:00,TDR,05/28/2006 05:00:00,TDR,05/28/2006 05:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2002,Adult,F,N,,,
M680,2006020,37587,NESE0198ANNU,02/25/2006 14:30:00,TDR,05/13/2006 23:45:00,TDR,05/13/2006 23:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1996,Adult,F,N,,,
H965,2006021,26341,NESE0199ANNU,03/02/2006 03:30:00,TDR,05/26/2006 17:00:00,TDR,05/26/2006 17:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1992,Adult,F,N,,,
M637,2006022,39456,NESE0200ANNU,02/24/2006 01:30:00,TDR,05/04/2006 03:45:00,TDR,05/04/2006 03:45:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1996,Adult,F,N,,,
J682,2006023,25966,NESE0201ANNU,03/03/2006 06:45:00,TDR,05/17/2006 23:00:00,TDR,05/17/2006 23:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1993,Adult,F,N,,argos antenna broke,
1885,2006024,22922,NESE0202ANNU,02/28/2006 04:00:00,TDR,04/16/2006 19:00:00,TDR,04/16/2006 19:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,2002,Adult,F,N,,,
W1057,2006025,44637,NESE0203ANNU,02/26/2006 05:45:00,TDR,05/06/2006 16:30:00,TDR,05/06/2006 16:30:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1998,Adult,F,N,,,
L840,2006026,24178,NESE0204ANNU,03/03/2006 08:00:00,TDR,05/25/2006 13:00:00,TDR,05/25/2006 13:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1995,Adult,F,N,,,
M627,2006027,22925,NESE0205ANNU,03/02/2006 12:00:00,TDR,05/13/2006 03:00:00,TDR,05/13/2006 03:00:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1996,Adult,F,N,,,
1795,2006031,39457,NESE0209ANNU,03/01/2006 00:00:00,PTT,04/16/2006 00:00:00,PTT,,,37.116396,-122.330756,,,ANNU,,PB,2002,Adult,F,N,,not recovered,
kita,2006034,59112,NESE0031SABE,02/15/2006 00:30:00,TDR,04/09/2006 22:00:00,TDR,04/09/2006 22:00:00,TDR,28.311,-115.569,28.311,-115.569,SABE,SABE,PB,NaN,Adult,F,N,,,
mimi,2006035,59107,NESE0032SABE,12/11/2005 20:00:00,PTT,04/09/2006 11:00:00,PTT,04/09/2006 11:00:00,PTT,28.311,-115.569,28.311,-115.569,SABE,SABE,PB,NaN,Adult,F,N,,,
